FID,Observed,Cond,LocalR2,Predicted,Intercept,C1_PublicS,C2_Domesti,C3_Irrigat,C4_Aquacul,C5_Mining_,C6_Thermoe,Residual,StdError,StdErr_Int,StdErrC1_P,StdErrC2_D,StdErrC3_I,StdErrC4_A,StdErrC5_M,StdErrC6_T,StdResid,Source_ID
32,103.870000000000000,4.771161670670000,0.837334396212000,85.195969922499998,22.080816122800002,0.000996146941793,-0.004739449865150,0.004557614760740,9.896597923910001,4.005474374000000,8.715297003340000,18.674030077499999,92.946956559000000,29.050096821400000,0.000506410676723,0.003389265272720,0.000496234054340,4.466334737720000,10.249169462099999,2.566986315090000,0.200910613632000,32
33,926.299999999999950,3.804277222460000,0.855449541788000,900.160790355000020,20.618291885700000,0.000300503471623,-0.001279394361390,0.004652103215460,11.576294779900000,0.729202311443000,10.154317003599999,26.139209645200001,20.411494227500000,27.932599263699998,0.000237742209673,0.002081295328490,0.000480075579572,4.302115124020000,10.232031967699999,2.331756948170000,1.280612254740000,33
34,509.149999999999980,3.323864467340000,0.823852296902000,506.894541591000010,-9.478168488470001,0.000368966000907,-0.002506247919720,0.004109197917640,0.388250589976000,578.209290161000010,2.411227027150000,2.255458409180000,80.929155821699993,28.920558440499999,0.000172300681818,0.001681582895890,0.000515753372463,4.945945369310000,130.760486232999990,4.565487884400000,0.027869540788900,34
35,43.369999999999997,3.578228307520000,0.767044859722000,69.903857714599994,-9.346809227680000,0.000239238842418,-0.000246916610874,0.003067650698010,4.218696573170000,215.730581758000000,5.575809892440000,-26.533857714600000,93.262641718799998,29.529731761400001,0.000110903564203,0.001328196928530,0.000490742810052,4.002631723080000,95.593437258099996,4.161365716010000,-0.284506821012000,35
36,34.740000000000002,5.158703702850000,0.853678103706000,55.162980294199997,18.960591711399999,0.001138426290970,-0.004689493754740,0.004505369541880,10.668805881899999,3.723341593020000,8.555107591610000,-20.422980294199998,91.346506248699995,30.390271014500001,0.000653684371876,0.004210311440550,0.000506934942922,4.621952335210000,10.266847195700000,2.785245645410000,-0.223577027004000,36
37,729.850000000000020,3.321793194200000,0.789102066008000,576.367109123999970,-0.589097402299000,0.000359108330747,-0.002639319858490,0.004210162276000,2.253204742830000,270.862840093999980,5.960216737010000,153.482890876000000,75.564708098799997,29.134292629899999,0.000188711353572,0.001827715026220,0.000511249306793,4.748406260670000,75.806328477999998,3.336353972650000,2.031145156750000,37
38,301.300000000000010,3.522895908510000,0.771560889308000,275.467872508000030,-4.640808096170000,0.000218950483126,-0.000499018486648,0.003608867570470,1.687548833550000,-16.527118688200002,7.356503866200000,25.832127491600001,54.289445751999999,32.851728696099997,0.000120797439580,0.001362500937910,0.000438815884445,5.063732477810000,65.706737097399994,4.216441790110000,0.475822273258000,38
39,284.750000000000000,3.614154581260000,0.629214527810000,330.297972265000000,10.264140368900000,0.000176212127396,0.001584334847540,0.001884362014090,12.807317801500000,70.682233916200005,10.541037856499999,-45.547972265399999,87.512999961700004,31.027621103000001,0.000116445670673,0.001353315354760,0.000315666835826,4.372948494330000,62.082868628100002,4.273256922810000,-0.520470927580000,39
40,127.780000000000000,3.529795688750000,0.608833038358000,212.306124079999990,37.648311069000002,0.000143701944789,0.000429894315924,0.002126931223910,6.866579476620000,-27.628687588999998,8.382827150730000,-84.526124080200006,91.358039655300004,34.620419961400003,0.000122473630549,0.001442581377000,0.000332995206620,5.525667365450000,64.154741128500007,4.361258267220000,-0.925218233657000,40
41,230.669999999999990,3.210520050630000,0.751682827537000,149.945704003999990,20.269636074600001,0.000195970497688,-0.000463638667225,0.004130070727980,4.977035829110000,5.075710257030000,5.289006982980000,80.724295996099997,92.738199464800005,30.744179039300001,0.000114466542281,0.001325416206860,0.000540006678552,3.951508495070000,10.445173323000001,3.373139629610000,0.870453561337000,41
42,290.420000000000020,3.911499207500000,0.706803452980000,311.218077040000030,-17.334778033599999,0.000219088223356,0.001630340286440,0.001709680545540,9.787399702260000,248.865803922999990,11.433218504799999,-20.798077040199999,82.199226510100004,30.532878219499999,0.000116806195804,0.001350576158840,0.000326385605729,4.901179796000000,92.812637152999997,4.819369204050000,-0.253020349744000,42
43,1.710000000000000,3.635391125260000,0.776857182670000,11.025753516400000,9.336009236470000,0.000228430026690,-0.000681403068713,0.003546069339250,2.673944058250000,204.906201444000000,2.595431620440000,-9.315753516410000,91.283552969799999,30.399153266599999,0.000112858854258,0.001334533886790,0.000517934990555,4.068100468800000,99.918966562600005,4.562932936860000,-0.102052924249000,43
44,165.360000000000010,3.836104658500000,0.841621685391000,251.540649766000000,25.551869073399999,0.000074410185182,-0.000091930292552,0.004595623007700,10.290378515900001,-0.872175713655000,10.269818643100001,-86.180649766499997,82.038828831499998,29.163504744000001,0.000189594729331,0.001656371100910,0.000621186519960,4.052535742340000,10.394892459299999,2.437674609300000,-1.050486105100000,44
45,6.420000000000000,3.261671672050000,0.759563177141000,3.371375803080000,-5.119354346550000,0.000235034865048,-0.000580830827785,0.003868146922490,3.786878029880000,65.017428314699998,5.631190437450000,3.048624196920000,90.457144208299994,28.608525399200001,0.000111057242002,0.001334069967010,0.000445264620859,4.159133013570000,62.764638226000002,4.128126561340000,0.033702414813100,45
46,203.729999999999990,4.176459003530000,0.773751679549000,215.924517565999990,2.984607613480000,0.000237777484420,-0.000287652412640,0.003046642158110,3.377566739180000,243.077302704000000,3.306269522180000,-12.194517565500000,86.451906118500006,30.191434221800002,0.000112355058339,0.001322511262280,0.000561530487843,4.117964256270000,107.702198451000000,4.547172894260000,-0.141055508351000,46
